stop_id,stop_name,route_count,connected_routes
30135,Stadyum İstasyon,16,"102, 214, 249, 498, 501, 502, 503, 504, 513, 515, 539, 543, 599, 662, 699, 930"
30137,Bölge İdare Mahkemesi,16,"102, 214, 249, 498, 501, 502, 503, 504, 513, 515, 539, 543, 599, 662, 699, 930"
30139,Üçüncü Sanayi,16,"102, 214, 249, 498, 501, 502, 503, 504, 513, 515, 539, 543, 599, 662, 699, 930"
30140,Üçüncü Sanayi,16,"102, 168, 214, 249, 501, 502, 503, 504, 513, 515, 539, 543, 599, 662, 699, 930"
30280,Adliye,16,"102, 214, 249, 501, 502, 503, 504, 513, 515, 539, 543, 599, 662, 699, 930, 963"
41336,Tınaztepe Yerleşke Son Durak,16,"171, 213, 277, 290, 304, 353, 390, 412, 465, 471, 472, 476, 490, 515, 676, 690"
50029,Balcı,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50031,Narlıdere İtfaiye,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50032,Narlıdere İtfaiye,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50033,Narlıdere Cami,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50034,Narlıdere Cami,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50035,Uludağ,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50036,Uludağ,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50037,Köprübaşı,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50038,Köprübaşı,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50039,Siteler,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50040,Siteler,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50041,Şehitlik,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
50042,Şehitlik,16,"321, 5, 551, 6, 7, 8, 82, 909, 950, 975, 981, 982, 983, 984, 985, 987"
10199,Adnan Saygun Sanat Merkezi,15,"17, 202, 24, 25, 480, 486, 5, 510, 6, 650, 671, 690, 7, 873, 977"
10241,Kız Yurdu,15,"15, 152, 157, 193, 224, 233, 29, 30, 32, 33, 508, 550, 587, 588, 887"
10370,Halkapınar İZSU,15,"117, 153, 154, 214, 249, 302, 367, 54, 57, 58, 59, 60, 64, 662, 699"
10371,Halkapınar İZSU,15,"117, 153, 154, 214, 249, 302, 367, 54, 57, 58, 59, 60, 64, 662, 699"
12064,Yağhaneler 2,15,"104, 105, 171, 233, 234, 285, 374, 465, 470, 471, 484, 485, 490, 72, 940"
12068,Konak Anadolu Lisesi,15,"104, 105, 171, 233, 234, 285, 374, 465, 470, 471, 484, 485, 490, 72, 940"
20059,Naldöken,15,"125, 140, 147, 148, 240, 426, 434, 577, 602, 608, 660, 77, 78, 800, 912"
20061,Öztürk,15,"125, 140, 147, 148, 240, 426, 434, 577, 602, 608, 660, 77, 78, 800, 912"
20063,Soğukkuyu Trafik,15,"125, 140, 147, 148, 240, 426, 434, 577, 602, 608, 660, 77, 78, 800, 912"
20064,Öztürk,15,"125, 140, 147, 148, 240, 426, 434, 577, 602, 608, 660, 77, 78, 800, 912"
20066,Soğukkuyu Trafik,15,"125, 140, 147, 148, 240, 426, 434, 577, 602, 608, 660, 77, 78, 800, 912"
