stop_name,stop_count
Alt Geçit,2
Altmışıncı Yıl Anadolu Lisesi,2
Altyüz Köprüsü,2
Altın,2
Altıncı Sanayi,2
Altındağ Atatürk Kültür Merkezi STK Yerleşke,2
Altındağ Belediyesi,2
Altınkent,2
Altınköy Sitesi,2
Altınköy yolu,2
Altınordu Tesisleri,2
Altınova Sitesi,2
Altıntepe Nefes,2
Altıntepe Sera,2
Altıntepe Tarım,2
Altıntepe Çiftçi,2
Altıntepe İlkokulu,2
Altınyağ,2
Alıç,2
Ambarseki,2
Ambarseki  Filiz,2
Amber,2
Amerikan Koleji,2
Ana Jet Üssü,2
Anadolu Cami,2
Anadolu Lisesi,2
Anafartalar,2
Anaokulu,2
Anemon,2
Ankara Caddesi,2
Ansızca Cami,2
Ansızca Giriş,2
Antik,2
Anıt Park,2
Apan Çeşme,2
Ar Konutları,2
Arap Deresi,2
Arap Mahallesi,2
Arap Çeşmesi,2
Arkacılar,2
Arkacılar Bulut,2
Arko Sitesi,2
Armola,2
Armutlu 1 Küme,2
Armutlu Mera,2
Armutlu Merkez,2
Armutlu Mezarlık,2
Armutlu Ortaokulu,2
Armutlu Park,2
Armutlu Sağlık Ocağı,2
Armutlu İnlik,2
Armutluk,2
Arpa Deresi,2
Arslanlar Çıkış,2
Arya,2
Arı Deresi,2
Arıkbaşı Akçam,2
Arıkbaşı Kahveler,2
Arıkbaşı Okul Yolu,2
Arıkent,2
Arıtma,2
Asarlık Giriş,2
Asarlık Köprü,2
Asarlık Mezarlık,2
Asarlık Park,2
Asarlık Pazar Yeri,2
Asarlık Polis Merkezi,2
Asarlık Toki Evleri,2
Asarlık Toki Evleri Tepe,2
Asarlık Toki Evleri Trafo,2
Asarlık Toki Evleri Üçyol,2
Asfalt,2
Asiler,2
Askeri Birlik,2
Aslan,2
Aslanağazı,2
Aslanlar,2
Asma,2
Asmadere Koyu,2
Asmaderesi,2
Astsubay Lojmanları,2
Asır,2
At Çiftliği,2
Ata Durağı,2
Ataberk,2
Atakent Anadolu Lisesi,2
Ataköy Giriş,2
Ataköy Güven,2
Ataköy Mezarlık,2
Ataköy Mina,2
Ataköy Çiftlik,2
Ataköy Çıkış,2
Atalan,2
Atalan Aile Sağlığı Merkezi,2
Atatürk Bulvarı,2
Atatürk Mahallesi Gezer,2
Atatürk Mahallesi Nergis,2
Atatürk Mahallesi TOKİ İlkokulu,2
Atatürk Mahallesi Toki Evleri 1,2
Atatürk Mahallesi Toki Evleri 2,2
Atatürk Mahallesi Zirve,2
Atatürk Ortaokulu,2
Atatürk Spor Lisesi Giriş,2
Atatürk İlköğretim Okulu,2
Ataşehir Köprü,2
Ataşehir Mahallesi Parkı,2
Atik,2
Atletizm,2
Atlı Spor Kulübü,2
Atölye,2
Avcı,2
Avşar Sitesi,2
Ay,2
Ayakkabıcılar Sitesi,2
Ayakkabıcılar Sitesi Cami,2
Ayaskent Aile Sağlık Merkezi,2
Ayaskent Benzinlik,2
Ayaskent Meydan,2
Ayaskent Zeytinyağı Fabrikası,2
Ayaskent İlyas Deresi,2
Ayaskent İrfan Kırdar İlkokulu,2
Aydibi,2
Aydın Erten Parkı,2
Aydın Mahallesi Eski Son Durak,2
Aydın Parkı,2
Aydınkent,2
Aydınlar Caddesi,2
Aydınlar Köşe,2
Aydınlıkevler Cami,2
Aydınlıkevler Muhtarlık,2
Aydınlıkevler Park,2
Aydınoğlu Mehmetbey İlkokulu,2
Aykaş,2
Aynısefa,2
Ayrancılar Anadolu Lisesi,2
Ayrancılar Barış,2
Ayrancılar Gölet,2
Ayrancılar Mezarlık,2
Ayrancılar Petrol Ofisi,2
Ayrancılar TOKİ,2
Ayrancılar Toki Giriş,2
Ayrancılar Un Fabrikası,2
Ayrancılar Yeni TOKİ,2
Ayrancılar Çıkış,2
Ayrancılar İlkokulu,2
Ayvacık Girişi,2
Ayvacık Park,2
Ayvacık Çıkış,2
Ayvalık Küme Evleri,2
Ayvatlar Giriş,2
Ayvatlar Köy İçi,2
Ayvatlar Merkez,2
Ayyıldız,2
Ayçiçeği,2
Azelya,2
Azerbaycan,2
Aziz Erol Güzelcan Mesleki ve Teknik Anadolu Lisesi,2
Aziziye Atatürk Parkı,2
Azmak,2
Azmak Yol Ayrımı,2
Ağalar Deresi,2
Ağaçlıyol Benzinlik,2
Ağır Bakım,2
Ağız ve Diş Sağlığı Fakültesi,2
Aşağı Boyabağ,2
Aşağı Kızılca,2
Aşağı Kızılca Yol Ayrımı,2
Aşağı Sancaklı Giriş,2
Aşağı Vişneli,2
Aşağı Yenmiş Köyü Girişi,2
Aşağı Çeşme,2
Aşağıbey,2
Aşağıbey Camii,2
Aşağıbey Giriş,2
Aşağıbey Köy İçi Yolu,2
Aşağıbey Muhtarlık,2
Aşağıbey Okul,2
Aşağıbey Son Durak,2
Aşağıcuma Giriş,2
Aşağıcuma Meydan,2
Aşağıcuma Okul,2
Aşağıcuma Taş Ocağı,2
Aşağıcuma Yolu,2
Aşağıkırıklar Cami,2
Aşağıkırıklar Fabrika,2
Aşağıkırıklar Giriş,2
Aşağıkırıklar Mezarlık Giriş,2
Aşağıkırıklar Mezarlık Çıkış,2
Aşağıkırıklar Çiftlik,2
Aşağıkırıklar Çıkış,2
Aşağıkırıklar İlkokulu,2
Aşağıkızılca Fabrika,2
Aşık Veysel Rekreasyon Alanı,2
Aşık Veysel Şatıroğlu Parkı,2
BMC,2
Badem Ağacı,2
Badembükü Yol Ayrımı,2
Bademler,2
Bademler Benzin İstasyonu,2
Bademler Bozyer,2
Bademler Dere,2
Bademler Giriş,2
Bademler Gödence,2
Bademler Kooperatif,2
Bademler Küçükevler,2
Bademler Ortaokulu,2
Bademler Park,2
Bademler Tarla,2
Bademler Çıkış,2
Bademlik,2
Bahar Yeli,2
Bahar Yıldırım İlkokulu,2
Bahriye Üçok Mahallesi Köprü,2
Bahçe Arası,2
Bahçeiçi,2
Bahçeköy,2
Bahçelerarası,2
Bahçelerarası Merkez,2
Bahçelerarası Muhtarlık,2
Bahçeli,2
Bahçeşehir Koleji,2
Bakü Parkı,2
Bakırçay,2
Bakırçay Lisesi,2
Balatçık Kahveler,2
