stop_id,stop_name,route_1,route_2
10128,Çardak,838,951
10130,Şehit Fethibey,41,42
10134,Fahrettin Altay Meydan 7,517,681
10134,Fahrettin Altay Meydan 7,517,879
10134,Fahrettin Altay Meydan 7,517,950
10134,Fahrettin Altay Meydan 7,681,879
10134,Fahrettin Altay Meydan 7,681,950
10134,Fahrettin Altay Meydan 7,879,950
10135,Fahrettin Altay Meydan 6,517,681
10135,Fahrettin Altay Meydan 6,517,811
10135,Fahrettin Altay Meydan 6,517,879
10135,Fahrettin Altay Meydan 6,517,950
10135,Fahrettin Altay Meydan 6,681,811
10135,Fahrettin Altay Meydan 6,681,879
10135,Fahrettin Altay Meydan 6,681,950
10135,Fahrettin Altay Meydan 6,811,879
10135,Fahrettin Altay Meydan 6,811,950
10135,Fahrettin Altay Meydan 6,879,950
10145,Kız Lisesi,10,253
10145,Kız Lisesi,10,302
10145,Kız Lisesi,10,951
10145,Kız Lisesi,253,302
10145,Kız Lisesi,253,951
10145,Kız Lisesi,302,951
10146,Kız Lisesi,10,121
10146,Kız Lisesi,10,253
10146,Kız Lisesi,10,302
10146,Kız Lisesi,10,35
10146,Kız Lisesi,10,811
10146,Kız Lisesi,10,951
10146,Kız Lisesi,121,253
10146,Kız Lisesi,121,302
10146,Kız Lisesi,121,35
10146,Kız Lisesi,121,811
10146,Kız Lisesi,121,951
10146,Kız Lisesi,253,302
10146,Kız Lisesi,253,35
10146,Kız Lisesi,253,811
10146,Kız Lisesi,253,951
10146,Kız Lisesi,302,35
10146,Kız Lisesi,302,811
10146,Kız Lisesi,302,951
10146,Kız Lisesi,35,811
10146,Kız Lisesi,35,951
10146,Kız Lisesi,811,951
10147,Karataş Anadolu Lisesi,10,253
10147,Karataş Anadolu Lisesi,10,302
10147,Karataş Anadolu Lisesi,10,951
10147,Karataş Anadolu Lisesi,253,302
10147,Karataş Anadolu Lisesi,253,951
10147,Karataş Anadolu Lisesi,302,951
10148,Karataş Anadolu Lisesi,10,121
10148,Karataş Anadolu Lisesi,10,253
10148,Karataş Anadolu Lisesi,10,302
10148,Karataş Anadolu Lisesi,10,35
10148,Karataş Anadolu Lisesi,10,811
10148,Karataş Anadolu Lisesi,10,951
10148,Karataş Anadolu Lisesi,121,253
10148,Karataş Anadolu Lisesi,121,302
10148,Karataş Anadolu Lisesi,121,35
10148,Karataş Anadolu Lisesi,121,811
10148,Karataş Anadolu Lisesi,121,951
10148,Karataş Anadolu Lisesi,253,302
10148,Karataş Anadolu Lisesi,253,35
10148,Karataş Anadolu Lisesi,253,811
10148,Karataş Anadolu Lisesi,253,951
10148,Karataş Anadolu Lisesi,302,35
10148,Karataş Anadolu Lisesi,302,811
10148,Karataş Anadolu Lisesi,302,951
10148,Karataş Anadolu Lisesi,35,811
10148,Karataş Anadolu Lisesi,35,951
10148,Karataş Anadolu Lisesi,811,951
10177,Hava Hastanesi,10,17
10177,Hava Hastanesi,10,202
10177,Hava Hastanesi,10,24
10177,Hava Hastanesi,10,25
10177,Hava Hastanesi,10,480
10177,Hava Hastanesi,10,486
10177,Hava Hastanesi,10,5
10177,Hava Hastanesi,10,510
10177,Hava Hastanesi,10,6
10177,Hava Hastanesi,10,650
10177,Hava Hastanesi,10,671
10177,Hava Hastanesi,10,690
10177,Hava Hastanesi,10,7
10177,Hava Hastanesi,10,873
10177,Hava Hastanesi,10,977
10177,Hava Hastanesi,17,202
10177,Hava Hastanesi,17,24
10177,Hava Hastanesi,17,25
10177,Hava Hastanesi,17,480
10177,Hava Hastanesi,17,486
10177,Hava Hastanesi,17,5
10177,Hava Hastanesi,17,510
10177,Hava Hastanesi,17,6
10177,Hava Hastanesi,17,650
10177,Hava Hastanesi,17,671
10177,Hava Hastanesi,17,690
10177,Hava Hastanesi,17,7
10177,Hava Hastanesi,17,873
10177,Hava Hastanesi,17,977
10177,Hava Hastanesi,202,24
10177,Hava Hastanesi,202,25
10177,Hava Hastanesi,202,480
10177,Hava Hastanesi,202,486
10177,Hava Hastanesi,202,5
10177,Hava Hastanesi,202,510
10177,Hava Hastanesi,202,6
10177,Hava Hastanesi,202,650
10177,Hava Hastanesi,202,671
10177,Hava Hastanesi,202,690
10177,Hava Hastanesi,202,7
10177,Hava Hastanesi,202,873
10177,Hava Hastanesi,202,977
10177,Hava Hastanesi,24,25
10177,Hava Hastanesi,24,480
10177,Hava Hastanesi,24,486
10177,Hava Hastanesi,24,5
10177,Hava Hastanesi,24,510
10177,Hava Hastanesi,24,6
10177,Hava Hastanesi,24,650
10177,Hava Hastanesi,24,671
10177,Hava Hastanesi,24,690
10177,Hava Hastanesi,24,7
10177,Hava Hastanesi,24,873
10177,Hava Hastanesi,24,977
10177,Hava Hastanesi,25,480
10177,Hava Hastanesi,25,486
10177,Hava Hastanesi,25,5
10177,Hava Hastanesi,25,510
10177,Hava Hastanesi,25,6
10177,Hava Hastanesi,25,650
10177,Hava Hastanesi,25,671
10177,Hava Hastanesi,25,690
10177,Hava Hastanesi,25,7
10177,Hava Hastanesi,25,873
10177,Hava Hastanesi,25,977
10177,Hava Hastanesi,480,486
10177,Hava Hastanesi,480,5
10177,Hava Hastanesi,480,510
10177,Hava Hastanesi,480,6
10177,Hava Hastanesi,480,650
10177,Hava Hastanesi,480,671
10177,Hava Hastanesi,480,690
10177,Hava Hastanesi,480,7
10177,Hava Hastanesi,480,873
10177,Hava Hastanesi,480,977
10177,Hava Hastanesi,486,5
10177,Hava Hastanesi,486,510
10177,Hava Hastanesi,486,6
10177,Hava Hastanesi,486,650
10177,Hava Hastanesi,486,671
10177,Hava Hastanesi,486,690
10177,Hava Hastanesi,486,7
10177,Hava Hastanesi,486,873
10177,Hava Hastanesi,486,977
10177,Hava Hastanesi,5,510
10177,Hava Hastanesi,5,6
10177,Hava Hastanesi,5,650
10177,Hava Hastanesi,5,671
10177,Hava Hastanesi,5,690
10177,Hava Hastanesi,5,7
10177,Hava Hastanesi,5,873
10177,Hava Hastanesi,5,977
10177,Hava Hastanesi,510,6
10177,Hava Hastanesi,510,650
10177,Hava Hastanesi,510,671
