route_1,route_2,common_stop_count,common_stop_rank
442,816,30,82
502,599,30,82
517,522,30,82
619,750,30,82
619,757,30,82
619,850,30,82
684,984,30,82
722,795,30,82
727,786,30,82
728,889,30,82
762,9,30,82
804,829,30,82
966,988,30,82
102,504,29,83
117,302,29,83
123,816,29,83
147,847,29,83
152,200,29,83
16,520,29,83
200,691,29,83
224,823,29,83
240,577,29,83
302,60,29,83
302,64,29,83
304,536,29,83
326,430,29,83
329,529,29,83
330,543,29,83
423,442,29,83
426,430,29,83
426,577,29,83
426,78,29,83
428,602,29,83
428,660,29,83
428,800,29,83
434,577,29,83
501,502,29,83
535,912,29,83
568,570,29,83
661,746,29,83
719,727,29,83
724,727,29,83
743,770,29,83
745,746,29,83
9,983,29,83
930,963,29,83
102,501,28,84
125,240,28,84
125,322,28,84
125,434,28,84
125,577,28,84
135,197,28,84
140,240,28,84
147,577,28,84
147,77,28,84
147,78,28,84
148,78,28,84
157,27,28,84
196,197,28,84
197,742,28,84
214,963,28,84
240,77,28,84
240,78,28,84
259,59,28,84
302,367,28,84
426,77,28,84
428,446,28,84
428,595,28,84
434,77,28,84
434,78,28,84
442,446,28,84
446,810,28,84
446,820,28,84
446,827,28,84
480,950,28,84
491,828,28,84
502,504,28,84
515,963,28,84
522,671,28,84
532,847,28,84
595,820,28,84
595,827,28,84
701,783,28,84
712,727,28,84
713,727,28,84
719,722,28,84
721,727,28,84
727,763,28,84
727,784,28,84
727,785,28,84
979,987,28,84
987,991,28,84
104,490,27,85
117,57,27,85
125,147,27,85
125,77,27,85
125,78,27,85
140,147,27,85
140,148,27,85
140,426,27,85
140,434,27,85
148,577,27,85
148,77,27,85
193,224,27,85
196,77,27,85
197,477,27,85
206,515,27,85
206,536,27,85
222,853,27,85
224,522,27,85
27,556,27,85
302,57,27,85
304,476,27,85
304,676,27,85
367,57,27,85
418,466,27,85
465,476,27,85
491,891,27,85
501,504,27,85
523,877,27,85
535,602,27,85
535,608,27,85
535,660,27,85
535,800,27,85
535,920,27,85
565,566,27,85
57,60,27,85
57,64,27,85
660,749,27,85
684,962,27,85
697,793,27,85
707,799,27,85
709,712,27,85
721,722,27,85
722,763,27,85
722,783,27,85
722,784,27,85
722,786,27,85
751,777,27,85
760,982,27,85
761,982,27,85
906,982,27,85
125,140,26,86
125,148,26,86
126,222,26,86
126,853,26,86
126,920,26,86
136,741,26,86
137,197,26,86
140,577,26,86
140,77,26,86
140,78,26,86
156,27,26,86
197,577,26,86
222,326,26,86
222,920,26,86
224,23,26,86
233,484,26,86
258,741,26,86
258,847,26,86
267,358,26,86
321,962,26,86
322,426,26,86
326,853,26,86
326,920,26,86
359,503,26,86
359,513,26,86
428,608,26,86
430,741,26,86
490,940,26,86
502,557,26,86
510,650,26,86
515,676,26,86
517,877,26,86
557,662,26,86
602,827,26,86
618,697,26,86
618,806,26,86
640,675,26,86
640,975,26,86
640,985,26,86
640,990,26,86
641,979,26,86
641,991,26,86
642,675,26,86
642,975,26,86
642,985,26,86
642,990,26,86
660,827,26,86
675,990,26,86
707,804,26,86
722,785,26,86
727,791,26,86
732,987,26,86
734,961,26,86
741,847,26,86
744,750,26,86
774,798,26,86
787,791,26,86
791,793,26,86
791,858,26,86
800,827,26,86
866,869,26,86
962,983,26,86
975,979,26,86
975,990,26,86
979,991,26,86
985,990,26,86
119,54,25,87
119,555,25,87
200,821,25,87
23,523,25,87
23,680,25,87
23,877,25,87
268,367,25,87
268,468,25,87
285,874,25,87
326,426,25,87
335,577,25,87
364,564,25,87
476,490,25,87
480,969,25,87
490,676,25,87
502,699,25,87
503,597,25,87
513,597,25,87
551,969,25,87
560,564,25,87
640,641,25,87
640,979,25,87
640,991,25,87
641,642,25,87
641,675,25,87
641,975,25,87
641,985,25,87
641,990,25,87
642,979,25,87
642,991,25,87
643,644,25,87
675,979,25,87
676,805,25,87
737,982,25,87
777,821,25,87
789,804,25,87
793,806,25,87
882,883,25,87
975,986,25,87
978,982,25,87
979,985,25,87
979,990,25,87
990,991,25,87
128,848,24,88
136,240,24,88
157,879,24,88
193,23,24,88
193,680,24,88
200,777,24,88
206,470,24,88
206,490,24,88
214,330,24,88
267,560,24,88
267,60,24,88
267,67,24,88
330,515,24,88
330,963,24,88
335,434,24,88
358,468,24,88
365,566,24,88
430,435,24,88
442,443,24,88
470,476,24,88
470,676,24,88
476,515,24,88
476,805,24,88
5,551,24,88
515,536,24,88
640,986,24,88
641,989,24,88
642,986,24,88
668,988,24,88
675,986,24,88
714,722,24,88
732,733,24,88
734,737,24,88
734,882,24,88
734,978,24,88
768,988,24,88
770,858,24,88
975,989,24,88
985,986,24,88
986,990,24,88
989,991,24,88
105,484,23,89
125,335,23,89
125,477,23,89
147,335,23,89
152,539,23,89
156,157,23,89
171,484,23,89
193,877,23,89
197,258,23,89
197,741,23,89
197,847,23,89
240,335,23,89
240,477,23,89
